Id,ActivityDay,Calories
22302,3/20/2023,1871
22302,3/21/2023,1857
22302,3/22/2023,917
22310,2/25/2023,2095
22310,2/26/2023,1696
22310,2/27/2023,2524
22310,2/28/2023,2772
22310,3/1/2023,2666
22310,3/2/2023,2255
22310,3/3/2023,2545
22310,3/4/2023,1918
22310,3/5/2023,1829
22310,3/6/2023,2535
22310,3/7/2023,2565
22310,3/8/2023,2468
22310,3/9/2023,2367
22310,3/10/2023,2649
22310,3/11/2023,1916
22310,3/12/2023,1671
22310,3/13/2023,2210
22310,3/14/2023,2456
22310,3/15/2023,2058
22310,3/16/2023,2719
22310,3/17/2023,2636
22310,3/18/2023,1934
22310,3/19/2023,1692
22310,3/20/2023,2367
22310,3/21/2023,2457
22310,3/22/2023,1488
22311,2/25/2023,1356
22311,2/26/2023,1348
22311,2/27/2023,1792
22311,2/28/2023,2221
22311,3/1/2023,2281
22311,3/2/2023,2221
22311,3/3/2023,2035
22311,3/4/2023,1762
22311,3/5/2023,1828
22311,3/6/2023,2449
22311,3/7/2023,2379
22311,3/8/2023,2178
22311,3/9/2023,2375
22311,3/10/2023,2142
22311,3/11/2023,1880
22311,3/12/2023,1777
22311,3/13/2023,1850
22311,3/14/2023,1572
22311,3/15/2023,1788
22311,3/16/2023,1984
22311,3/17/2023,3799
22311,3/18/2023,1698
22311,3/19/2023,2019
22311,3/20/2023,2308
22311,3/21/2023,2207
22311,3/22/2023,1312
22312,2/27/2023,2101
22312,2/28/2023,1904
22312,3/1/2023,2106
22312,3/2/2023,2011
22312,3/3/2023,1886
22312,3/4/2023,1381
22312,3/5/2023,1705
22312,3/6/2023,2131
22312,3/7/2023,2075
22312,3/8/2023,1990
22312,3/9/2023,1987
22312,3/10/2023,1537
22312,3/11/2023,1402
22312,3/12/2023,1426
22312,3/13/2023,1546
22312,3/14/2023,1740
22312,3/15/2023,1481
22312,3/16/2023,1696
22312,3/17/2023,1469
22312,3/18/2023,1396
22312,3/19/2023,1389
22312,3/20/2023,2221
22312,3/21/2023,2032
22312,3/22/2023,1185
22313,2/25/2023,1671
22313,2/26/2023,1657
22313,2/27/2023,2077
22313,2/28/2023,3100
22313,3/1/2023,2915
22313,3/2/2023,2870
22313,3/3/2023,2770
22313,3/4/2023,2584
22313,3/5/2023,3074
22313,3/6/2023,2745
22313,3/7/2023,2722
22313,3/8/2023,2777
22313,3/9/2023,2817
22313,3/10/2023,2525
22313,3/11/2023,2517
22313,3/12/2023,2468
22313,3/13/2023,2741
22313,3/14/2023,2432
22313,3/15/2023,2713
22313,3/16/2023,2744
22313,3/17/2023,2716
22313,3/18/2023,2553
22313,3/19/2023,2607
22313,3/20/2023,3017
22313,3/21/2023,2870
22313,3/22/2023,1820
22314,2/25/2023,1052
22314,2/26/2023,1030
22314,2/27/2023,1597
22314,2/28/2023,1710
22314,3/1/2023,1607
22314,3/2/2023,1778
22314,3/3/2023,1948
22314,3/4/2023,1743
22314,3/5/2023,1196
22314,3/6/2023,1962
22314,3/7/2023,1696
22314,3/8/2023,1875
22314,3/9/2023,1658
22314,3/10/2023,1110
22314,3/11/2023,1484
22314,3/12/2023,1098
22314,3/13/2023,1495
22314,3/14/2023,1361
22314,3/15/2023,1605
22314,3/16/2023,984
22314,3/17/2023,984
22314,3/18/2023,984
22314,3/19/2023,1543
22314,3/20/2023,1654
22314,3/21/2023,1735
22314,3/22/2023,1105
22315,2/25/2023,1691
22315,2/26/2023,1747
22315,2/27/2023,1775
22315,2/28/2023,1792
22315,3/1/2023,1803
22315,3/2/2023,1811
22315,3/3/2023,1817
22315,3/4/2023,1822
22315,3/5/2023,1825
22315,3/6/2023,3211
22315,3/7/2023,3186
22315,3/8/2023,3405
22315,3/9/2023,3362
22315,3/10/2023,3552
22315,3/11/2023,2434
22315,3/12/2023,2498
22315,3/13/2023,3083
22315,3/14/2023,2659
22315,3/15/2023,3897
22315,3/16/2023,2825
22315,3/17/2023,3868
22315,3/18/2023,2418
22315,3/19/2023,2575
22315,3/20/2023,3871
22315,3/21/2023,2750
22315,3/22/2023,654
22316,2/25/2023,1366
22316,2/26/2023,1329
22316,2/27/2023,2077
22316,2/28/2023,2339
22316,3/1/2023,1657
22316,3/2/2023,2489
22316,3/3/2023,2277
22316,3/4/2023,1857
22316,3/5/2023,1768
22316,3/6/2023,1967
22316,3/7/2023,2274
22316,3/8/2023,2188
22316,3/9/2023,2321
22316,3/10/2023,2058
22316,3/11/2023,1905
22316,3/12/2023,1752
22316,3/13/2023,1738
22316,3/14/2023,1538
22316,3/15/2023,1834
22316,3/16/2023,1733
22316,3/17/2023,1924
22316,3/18/2023,1404
22316,3/19/2023,1835
22316,3/20/2023,1839
22316,3/21/2023,2424
22316,3/22/2023,1237
22317,2/27/2023,1948
22317,2/28/2023,2077
22317,3/1/2023,2141
22317,3/2/2023,2179
22317,3/3/2023,2205
22317,3/4/2023,2223
22317,3/5/2023,2237
22317,3/6/2023,3154
22317,3/7/2023,4009
22317,3/8/2023,4203
22317,3/9/2023,4210
22317,3/10/2023,3513
22317,3/11/2023,3482
22317,3/12/2023,3673
22317,3/13/2023,3657
22317,3/14/2023,3877
22317,3/15/2023,4178
22317,3/16/2023,3302
22317,3/17/2023,4931
22317,3/18/2023,916
22401,2/27/2023,1588
22401,2/28/2023,1626
22401,3/1/2023,1644
22401,3/2/2023,2217
22401,3/3/2023,2871
22401,3/4/2023,2102
